idstatefrom,idaction,idstateto,probability,reward
1,1,1,0.0501,999.9999999999942
1,1,2,0.1102,999.9999999999856
1,1,3,0.216,1000.000000000024
1,1,4,0.2571,1000.0000000000362
1,1,5,0.2161,1000.0000000000242
1,1,6,0.1033,999.9999999999858
1,1,7,0.0384,999.999999999999
1,1,8,0.0075,999.9999999999987
1,1,9,0.001,999.9999999999998
1,1,10,0.0003,1000.0
1,2,1,0.0522,199.99999999999807
1,2,2,0.1088,199.99999999999568
1,2,3,0.2062,200.00000000001012
1,2,4,0.2609,200.0000000000132
1,2,5,0.212,200.00000000001063
1,2,6,0.1129,199.99999999999557
1,2,7,0.037,199.99999999999977
1,2,8,0.009,199.99999999999997
1,2,9,0.0009,199.99999999999997
1,2,10,0.0001,200.0
1,3,1,0.0488,159.99999999999858
1,3,2,0.1094,159.99999999999733
1,3,3,0.2068,159.9999999999999
1,3,4,0.2654,160.0
1,3,5,0.2116,159.9999999999999
1,3,6,0.1147,159.99999999999716
1,3,7,0.0354,159.9999999999999
1,3,8,0.0072,159.99999999999986
1,3,9,0.0007,160.0
1,4,1,0.0467,119.99999999999932
1,4,2,0.1108,119.99999999999756
1,4,3,0.215,120.00000000000568
1,4,4,0.2544,120.00000000000644
1,4,5,0.2115,120.0000000000055
1,4,6,0.1113,119.99999999999756
1,4,7,0.0396,119.99999999999989
1,4,8,0.0096,120.00000000000004
1,4,9,0.0011,119.99999999999989
1,5,1,0.0485,80.0
1,5,2,0.1017,79.99999999999913
1,5,3,0.2122,79.99999999999996
1,5,4,0.2608,80.0
1,5,5,0.2175,79.99999999999996
1,5,6,0.1156,79.99999999999878
1,5,7,0.0347,80.00000000000014
1,5,8,0.0078,80.00000000000009
1,5,9,0.001,80.00000000000011
1,5,10,0.0002,80.00000000000011
2,1,1,0.0004,999.0
2,1,2,0.0117,999.0000000000008
2,1,3,0.0532,998.9999999999884
2,1,4,0.1156,998.9999999999776
2,1,5,0.2109,999.0000000000156
2,1,6,0.2347,999.0000000000176
2,1,7,0.1934,999.000000000014
2,1,8,0.1162,998.9999999999776
2,1,9,0.0485,998.9999999999898
2,1,10,0.0128,999.000000000001
2,1,11,0.0022,998.9999999999998
2,1,12,0.0004,999.0
2,2,1,0.0063,199.0
2,2,2,0.0474,198.99999999999855
2,2,3,0.1127,198.9999999999956
2,2,4,0.1849,199.00000000000423
2,2,5,0.2432,199.000000000008
2,2,6,0.2049,199.00000000000577
2,2,7,0.1277,198.99999999999588
2,2,8,0.0517,198.99999999999807
2,2,9,0.0165,199.0000000000008
2,2,10,0.0044,199.0000000000001
2,2,11,0.0003,199.0
2,3,1,0.004,159.00000000000009
2,3,2,0.0447,158.99999999999858
2,3,3,0.1034,158.99999999999793
2,3,4,0.2062,159.00000000000196
2,3,5,0.2466,159.00000000000216
2,3,6,0.2061,159.00000000000196
2,3,7,0.1175,158.99999999999793
2,3,8,0.0518,158.9999999999984
2,3,9,0.0161,159.00000000000034
2,3,10,0.0029,159.00000000000006
2,3,11,0.0007,158.99999999999997
2,4,1,0.0035,119.0
2,4,2,0.0409,118.99999999999936
2,4,3,0.1117,118.99999999999756
2,4,4,0.1937,119.00000000000456
2,4,5,0.2505,119.00000000000686
2,4,6,0.2151,119.00000000000578
2,4,7,0.1224,118.99999999999756
2,4,8,0.0462,118.9999999999989
2,4,9,0.0124,119.00000000000024
2,4,10,0.0033,119.0
2,4,11,0.0002,118.99999999999989
2,4,12,0.0001,118.99999999999989
2,5,1,0.0008,79.0000000000001
2,5,2,0.0445,79.00000000000013
2,5,3,0.1095,79.00000000000011
2,5,4,0.2004,79.00000000000203
2,5,5,0.2554,79.00000000000212
2,5,6,0.2197,79.00000000000206
2,5,7,0.1141,79.00000000000011
2,5,8,0.0422,79.00000000000013
2,5,9,0.0108,79.00000000000016
2,5,10,0.0024,79.00000000000011
2,5,11,0.0001,79.00000000000011
2,5,12,0.0001,79.00000000000011
3,1,1,0.0001,996.0
3,1,2,0.0012,996.0
3,1,3,0.0067,995.9999999999992
3,1,4,0.0242,996.000000000005
