idstatefrom,idaction,idstateto,probability,reward
1,1,1,1.0,0.0
1,2,1,0.9,63.0
1,2,2,0.1,-7.3
1,3,1,0.9,140.0
1,3,3,0.1,-12.6
1,4,1,0.4,155.0
1,4,2,0.5,29.4
1,4,4,0.1,-17.9
1,5,1,0.3,126.0
1,5,2,0.1,51.4
1,5,3,0.5,18.799999999999997
1,5,5,0.1,-23.2
1,6,1,0.2,106.0
1,6,2,0.1,36.7
1,6,3,0.1,40.8
1,6,4,0.5,8.200000000000003
1,6,6,0.1,-28.5
1,7,1,0.1,64.0
1,7,2,0.1,47.7
1,7,3,0.1,31.4
1,7,4,0.1,30.200000000000003
1,7,5,0.5,-2.4000000000000057
1,7,7,0.1,-33.8
1,8,1,0.1,75.0
1,8,3,0.1,42.4
1,8,4,0.1,26.1
1,8,5,0.1,19.599999999999994
1,8,6,0.5,-13.0
1,8,8,0.1,-39.1
1,9,1,0.1,86.0
1,9,4,0.1,37.1
1,9,5,0.1,20.799999999999997
1,9,6,0.1,9.0
1,9,7,0.5,-23.599999999999994
1,9,9,0.1,-44.4
1,10,1,0.1,97.0
1,10,5,0.1,31.799999999999997
1,10,6,0.1,15.5
1,10,7,0.1,-1.5999999999999943
1,10,8,0.5,-34.2
1,10,10,0.1,-49.7
1,11,1,0.1,108.0
1,11,6,0.1,26.5
1,11,7,0.1,10.200000000000003
1,11,8,0.1,-12.200000000000003
1,11,9,0.5,-44.8
1,11,11,0.1,-55.0
1,12,1,0.1,119.0
1,12,7,0.1,21.200000000000003
1,12,8,0.1,4.899999999999999
1,12,9,0.1,-22.799999999999997
1,12,10,0.5,-55.400000000000006
1,12,12,0.1,-60.3
1,13,1,0.1,130.0
1,13,8,0.1,15.900000000000006
1,13,9,0.1,-0.4000000000000057
1,13,10,0.1,-33.400000000000006
1,13,11,0.5,-66.0
1,13,13,0.1,-65.6
1,14,1,0.1,141.0
1,14,9,0.1,10.599999999999994
1,14,10,0.1,-5.700000000000003
1,14,11,0.1,-44.0
1,14,12,0.5,-76.6
1,14,14,0.1,-70.9
1,15,1,0.1,152.0
1,15,10,0.1,5.299999999999997
1,15,11,0.1,-11.0
1,15,12,0.1,-54.599999999999994
1,15,13,0.5,-87.19999999999999
1,15,15,0.1,-76.2
