idstatefrom,idaction,idstateto,probability,reward
1,1,1,1.0,0.0
1,2,1,0.999954600066613,2.01
1,2,2,4.5399933387e-5,-3.03
1,3,1,0.999500600732742,4.509999999999997
1,3,2,0.000453999333871,-0.5300000000000002
1,3,3,4.5399933387e-5,-5.57
1,4,1,0.997230604063386,7.010000000000001
1,4,2,0.002269996669356,1.9699999999999989
1,4,3,0.000453999333871,-3.0700000000000003
1,4,4,4.5399933387e-5,-8.110000000000001
1,5,1,0.989663948498866,9.509999999999994
1,5,2,0.00756665556452,4.469999999999999
1,5,3,0.002269996669356,-0.5700000000000003
1,5,4,0.000453999333871,-5.610000000000001
1,5,5,4.5399933387e-5,-10.65
1,6,1,0.970747309587565,12.009999999999996
1,6,2,0.018916638911301,6.969999999999999
1,6,3,0.00756665556452,1.93
1,6,4,0.002269996669356,-3.110000000000001
1,6,5,0.000453999333871,-8.15
1,6,6,4.5399933387e-5,-13.19
1,7,1,0.932914031764963,14.509999999999993
1,7,2,0.037833277822602,9.47
1,7,3,0.018916638911301,4.43
1,7,4,0.00756665556452,-0.6100000000000012
1,7,5,0.002269996669356,-5.65
1,7,6,0.000453999333871,-10.69
1,7,7,4.5399933387e-5,-15.730000000000002
1,8,1,0.869858568727293,17.01
1,8,2,0.06305546303767,11.970000000000002
1,8,3,0.037833277822602,6.930000000000003
1,8,4,0.018916638911301,1.890000000000004
1,8,5,0.00756665556452,-3.149999999999997
1,8,6,0.002269996669356,-8.189999999999998
1,8,7,0.000453999333871,-13.23
1,8,8,4.5399933387e-5,-18.27
1,9,1,0.779779335816336,19.51
1,9,2,0.090079232910957,14.47
1,9,3,0.06305546303767,9.43
1,9,4,0.037833277822602,4.390000000000004
1,9,5,0.018916638911301,-0.6499999999999986
1,9,6,0.00756665556452,-5.69
1,9,7,0.002269996669356,-10.73
1,9,8,0.000453999333871,-15.77
1,9,9,4.5399933387e-5,-20.81
1,10,1,0.66718029467764,22.01
1,10,2,0.112599041138696,16.97
1,10,3,0.090079232910957,11.929999999999996
1,10,4,0.06305546303767,6.890000000000001
1,10,5,0.037833277822602,1.8500000000000012
1,10,6,0.018916638911301,-3.1900000000000013
1,10,7,0.00756665556452,-8.230000000000002
1,10,8,0.002269996669356,-13.270000000000003
1,10,9,0.000453999333871,-18.31
1,10,10,4.5399933387e-5,-23.35
1,11,1,0.542070248967978,24.51000000000001
1,11,2,0.125110045709662,19.47
1,11,3,0.112599041138696,14.43
1,11,4,0.090079232910957,9.39
1,11,5,0.06305546303767,4.350000000000001
1,11,6,0.037833277822602,-0.6899999999999977
1,11,7,0.018916638911301,-5.73
1,11,8,0.00756665556452,-10.77
1,11,9,0.002269996669356,-15.81
1,11,10,0.000453999333871,-20.85
1,11,11,4.5399933387e-5,-25.89
2,1,1,0.999954600066613,4.9899999999999975
2,1,2,4.5399933387e-5,-0.05
2,2,1,0.999500600732742,6.999999999999997
2,2,2,0.000453999333871,1.96
2,2,3,4.5399933387e-5,-3.0800000000000005
2,3,1,0.997230604063386,9.499999999999998
2,3,2,0.002269996669356,4.46
2,3,3,0.000453999333871,-0.5800000000000001
2,3,4,4.5399933387e-5,-5.620000000000001
2,4,1,0.989663948498866,11.999999999999996
2,4,2,0.00756665556452,6.959999999999999
2,4,3,0.002269996669356,1.92
2,4,4,0.000453999333871,-3.120000000000001
2,4,5,4.5399933387e-5,-8.16
2,5,1,0.970747309587565,14.499999999999996
2,5,2,0.018916638911301,9.46
2,5,3,0.00756665556452,4.42
2,5,4,0.002269996669356,-0.620000000000001
2,5,5,0.000453999333871,-5.66
